WeekEnding,HSCP,SIMDQuintile,AdmissionType,AdmissionTypeQF,NumberAdmissions,Average20182019,PercentVariation
20200105,S37000016,1,All,d,74,84,-11.9
20200105,S37000016,2,All,d,112,120.5,-7.1
20200105,S37000016,3,All,d,220,193,14
20200105,S37000016,4,All,d,196,150.5,30.2
20200105,S37000016,5,All,d,34,41.5,-18.1
20200105,S37000017,1,All,d,114,130.5,-12.6
20200105,S37000017,2,All,d,24,32.5,-26.2
20200105,S37000017,3,All,d,47,40.5,16
20200105,S37000017,4,All,d,24,25.5,-5.9
20200105,S37000017,5,All,d,25,23.5,6.4
20200105,S37000018,1,All,d,21,29,-27.6
20200105,S37000018,2,All,d,95,85,11.8
20200105,S37000018,3,All,d,63,42,50
20200105,S37000018,4,All,d,29,31,-6.5
20200105,S37000018,5,All,d,12,18.5,-35.1
20200105,S37000019,1,All,d,11,6,83.3
20200105,S37000019,2,All,d,34,31.5,7.9
20200105,S37000019,3,All,d,75,68.5,9.5
20200105,S37000019,4,All,d,69,65,6.2
20200105,S37000019,5,All,d,28,18,55.6
20200105,S37000020,1,All,d,176,207.5,-15.2
20200105,S37000020,2,All,d,70,82,-14.6
20200105,S37000020,3,All,d,58,48.5,19.6
20200105,S37000020,4,All,d,38,45,-15.6
20200105,S37000020,5,All,d,27,33,-18.2
20200105,S37000022,3,All,d,13,9,44.4
20200105,S37000022,4,All,d,28,28,0
20200105,S37000024,1,All,d,134,128,4.7
20200105,S37000024,2,All,d,118,119.5,-1.3
20200105,S37000024,3,All,d,70,79.5,-11.9
20200105,S37000024,4,All,d,46,43.5,5.7
20200105,S37000024,5,All,d,84,69.5,20.9
20200105,S37000025,1,All,d,21,27.5,-23.6
20200105,S37000025,2,All,d,64,56.5,13.3
20200105,S37000025,3,All,d,109,120.5,-9.5
20200105,S37000025,4,All,d,90,80.5,11.8
20200105,S37000025,5,All,d,12,17,-29.4
20200105,S37000026,3,All,d,9,19,-52.6
20200105,S37000026,4,All,d,22,21.5,2.3
20200105,S37000027,1,All,d,75,79,-5.1
20200105,S37000027,2,All,d,91,109.5,-16.9
20200105,S37000027,3,All,d,67,69.5,-3.6
20200105,S37000027,4,All,d,47,48.5,-3.1
20200105,S37000027,5,All,d,52,68,-23.5
20200105,S37000028,1,All,d,208,240,-13.3
20200105,S37000028,2,All,d,234,251.5,-7
20200105,S37000028,3,All,d,181,176.5,2.5
20200105,S37000028,4,All,d,117,126.5,-7.5
20200105,S37000028,5,All,d,94,110.5,-14.9
20200105,S37000029,1,All,d,119,128.5,-7.4
20200105,S37000029,2,All,d,77,73.5,4.8
20200105,S37000029,3,All,d,44,39,12.8
20200105,S37000029,4,All,d,16,23.5,-31.9
20200105,S37000029,5,All,d,11,7.5,46.7
20200105,S37000030,1,All,d,92,91,1.1
20200105,S37000030,2,All,d,180,142,26.8
20200105,S37000030,3,All,d,105,81,29.6
20200105,S37000030,4,All,d,81,72,12.5
20200105,S37000030,5,All,d,48,44.5,7.9
20200105,S37000031,2,All,d,9,20,-55
20200105,S37000031,3,All,d,72,75.5,-4.6
20200105,S37000032,1,All,d,262,275,-4.7
20200105,S37000032,2,All,d,254,249.5,1.8
20200105,S37000032,3,All,d,199,200.5,-0.7
20200105,S37000032,4,All,d,182,185.5,-1.9
20200105,S37000032,5,All,d,128,142,-9.9
20200105,S37000033,1,All,d,25,29.5,-15.3
20200105,S37000033,2,All,d,53,61,-13.1
20200105,S37000033,3,All,d,73,83.5,-12.6
20200105,S37000033,4,All,d,144,116,24.1
20200105,S37000033,5,All,d,81,80,1.2
20200105,S37000034,1,All,d,903,987,-8.5
20200105,S37000034,2,All,d,308,293.5,4.9
20200105,S37000034,3,All,d,165,169,-2.4
20200105,S37000034,4,All,d,118,148,-20.3
20200105,S37000034,5,All,d,104,105.5,-1.4
20200105,S37000035,1,All,d,432,396.5,9
20200105,S37000035,2,All,d,304,305,-0.3
20200105,S37000035,3,All,d,141,155,-9
20200105,S37000035,4,All,d,122,123,-0.8
20200105,S37000035,5,All,d,64,67,-4.5
20200112,S37000001,1,All,d,88,76.5,15
20200112,S37000001,2,All,d,144,156.5,-8
20200112,S37000001,3,All,d,83,82.5,0.6
20200112,S37000001,4,All,d,74,73,1.4
20200112,S37000001,5,All,d,126,142.5,-11.6
20200112,S37000002,1,All,d,12,22,-45.5
20200112,S37000002,2,All,d,59,71.5,-17.5
20200112,S37000002,3,All,d,133,129.5,2.7
20200112,S37000002,4,All,d,203,215,-5.6
20200112,S37000002,5,All,d,134,134,0
20200112,S37000003,1,All,d,23,30,-23.3
20200112,S37000003,2,All,d,74,87.5,-15.4
20200112,S37000003,3,All,d,81,98.5,-17.8
20200112,S37000003,4,All,d,86,89.5,-3.9
20200112,S37000003,5,All,d,30,39,-23.1
20200112,S37000004,1,All,d,34,28,21.4
20200112,S37000004,2,All,d,49,50,-2
20200112,S37000004,3,All,d,108,117,-7.7
20200112,S37000004,4,All,d,64,64.5,-0.8
20200112,S37000004,5,All,d,18,24.5,-26.5
20200112,S37000005,1,All,d,106,161.5,-34.4
20200112,S37000005,2,All,d,80,118.5,-32.5
20200112,S37000005,3,All,d,50,89,-43.8
20200112,S37000005,4,All,d,74,127,-41.7
20200112,S37000005,5,All,d,60,98.5,-39.1
20200112,S37000006,1,All,d,50,62,-19.4
20200112,S37000006,2,All,d,138,134,3
20200112,S37000006,3,All,d,191,196,-2.6
20200112,S37000006,4,All,d,72,81,-11.1
20200112,S37000006,5,All,d,44,32,37.5
20200112,S37000007,1,All,d,202,207.5,-2.7
20200112,S37000007,2,All,d,101,105.5,-4.3
20200112,S37000007,3,All,d,55,37.5,46.7
20200112,S37000007,4,All,d,67,53,26.4
20200112,S37000007,5,All,d,50,57.5,-13
20200112,S37000008,1,All,d,151,144.5,4.5
20200112,S37000008,2,All,d,97,115,-15.7
20200112,S37000008,3,All,d,39,71.5,-45.5
20200112,S37000008,4,All,d,40,54,-25.9
20200112,S37000008,5,All,d,28,31,-9.7
20200112,S37000009,1,All,d,16,11,45.5
20200112,S37000009,2,All,d,54,71,-23.9
20200112,S37000009,3,All,d,34,26.5,28.3
20200112,S37000009,4,All,d,61,53,15.1
20200112,S37000009,5,All,d,124,140,-11.4
20200112,S37000010,1,All,d,22,15,46.7
20200112,S37000010,2,All,d,101,78.5,28.7
20200112,S37000010,3,All,d,54,56,-3.6
20200112,S37000010,4,All,d,43,42,2.4
20200112,S37000010,5,All,d,32,39,-17.9
20200112,S37000011,1,All,d,20,22.5,-11.1
20200112,S37000011,2,All,d,33,31,6.5
20200112,S37000011,3,All,d,17,22.5,-24.4
20200112,S37000011,4,All,d,54,47,14.9
20200112,S37000011,5,All,d,105,117.5,-10.6
20200112,S37000012,1,All,d,181,173,4.6
20200112,S37000012,2,All,d,221,182,21.4
20200112,S37000012,3,All,d,145,124.5,16.5
20200112,S37000012,4,All,d,182,152,19.7
20200112,S37000012,5,All,d,340,333.5,1.9
20200112,S37000013,1,All,d,105,138.5,-24.2
20200112,S37000013,2,All,d,137,208,-34.1
20200112,S37000013,3,All,d,100,204,-51
20200112,S37000013,4,All,d,63,106.5,-40.8
20200112,S37000013,5,All,d,80,82,-2.4
20200112,S37000016,1,All,d,99,83,19.3
20200112,S37000016,2,All,d,128,129,-0.8
20200112,S37000016,3,All,d,225,222,1.4
20200112,S37000016,4,All,d,190,168,13.1
20200112,S37000016,5,All,d,50,40,25
20200112,S37000017,1,All,d,119,132.5,-10.2
20200112,S37000017,2,All,d,29,36,-19.4
20200112,S37000017,3,All,d,41,31,32.3
20200112,S37000017,4,All,d,25,22,13.6
20200112,S37000017,5,All,d,26,22.5,15.6
20200112,S37000018,1,All,d,19,24.5,-22.4
20200112,S37000018,2,All,d,96,94,2.1
20200112,S37000018,3,All,d,55,57,-3.5
20200112,S37000018,4,All,d,47,38.5,22.1
20200112,S37000018,5,All,d,23,23,0
20200112,S37000019,1,All,d,14,7.5,86.7
20200112,S37000019,2,All,d,42,35.5,18.3
20200112,S37000019,3,All,d,95,84,13.1
20200112,S37000019,4,All,d,84,74,13.5
20200112,S37000019,5,All,d,19,19,0
20200112,S37000020,1,All,d,234,224.5,4.2
20200112,S37000020,2,All,d,102,84,21.4
20200112,S37000020,3,All,d,46,63,-27
20200112,S37000020,4,All,d,42,54,-22.2
20200112,S37000020,5,All,d,22,31,-29
20200112,S37000022,2,All,d,8,11.5,-30.4
20200112,S37000022,3,All,d,13,10,30
20200112,S37000022,4,All,d,42,37,13.5
20200112,S37000024,1,All,d,172,167.5,2.7
20200112,S37000024,2,All,d,129,132.5,-2.6
20200112,S37000024,3,All,d,90,76.5,17.6
20200112,S37000024,4,All,d,55,63,-12.7
20200112,S37000024,5,All,d,78,76.5,2
20200112,S37000025,1,All,d,14,17,-17.6
20200112,S37000025,2,All,d,59,70,-15.7
20200112,S37000025,3,All,d,124,131.5,-5.7
20200112,S37000025,4,All,d,77,81.5,-5.5
20200112,S37000025,5,All,d,19,20,-5
20200112,S37000026,3,All,d,19,26,-26.9
20200112,S37000026,4,All,d,22,34.5,-36.2
20200112,S37000027,1,All,d,100,80.5,24.2
20200112,S37000027,2,All,d,94,106.5,-11.7
20200112,S37000027,3,All,d,79,87.5,-9.7
20200112,S37000027,4,All,d,48,51.5,-6.8
20200112,S37000027,5,All,d,66,69.5,-5
20200112,S37000028,1,All,d,245,241.5,1.4
20200112,S37000028,2,All,d,226,267.5,-15.5
20200112,S37000028,3,All,d,189,199,-5
20200112,S37000028,4,All,d,124,145,-14.5
20200112,S37000028,5,All,d,100,122.5,-18.4
20200112,S37000029,1,All,d,146,138.5,5.4
20200112,S37000029,2,All,d,60,90.5,-33.7
20200112,S37000029,3,All,d,44,45,-2.2
20200112,S37000029,4,All,d,23,20.5,12.2
20200112,S37000029,5,All,d,11,13,-15.4
20200112,S37000030,1,All,d,103,113,-8.8
20200112,S37000030,2,All,d,182,163.5,11.3
20200112,S37000030,3,All,d,112,112.5,-0.4
20200112,S37000030,4,All,d,91,69.5,30.9
20200112,S37000030,5,All,d,48,56,-14.3
20200112,S37000031,2,All,d,19,20.5,-7.3
20200112,S37000031,3,All,d,94,84,11.9
20200112,S37000032,1,All,d,282,271,4.1
20200112,S37000032,2,All,d,287,273,5.1
20200112,S37000032,3,All,d,216,223,-3.1
20200112,S37000032,4,All,d,204,212,-3.8
20200112,S37000032,5,All,d,149,148.5,0.3
20200112,S37000033,1,All,d,35,33,6.1
20200112,S37000033,2,All,d,60,45.5,31.9
20200112,S37000033,3,All,d,113,95,18.9
20200112,S37000033,4,All,d,170,141,20.6
20200112,S37000033,5,All,d,93,80,16.2
20200112,S37000034,1,All,d,1046,1067,-2
20200112,S37000034,2,All,d,311,303,2.6
20200112,S37000034,3,All,d,201,195,3.1
20200112,S37000034,4,All,d,163,154.5,5.5
20200112,S37000034,5,All,d,118,146,-19.2
20200112,S37000035,1,All,d,438,452,-3.1
20200112,S37000035,2,All,d,340,333,2.1
20200112,S37000035,3,All,d,156,170.5,-8.5
20200112,S37000035,4,All,d,150,140,7.1
20200112,S37000035,5,All,d,72,75,-4
20200119,S37000001,1,All,d,70,81,-13.6
20200119,S37000001,2,All,d,135,139,-2.9
20200119,S37000001,3,All,d,87,76.5,13.7
20200119,S37000001,4,All,d,67,70,-4.3
20200119,S37000001,5,All,d,146,145,0.7
20200119,S37000002,1,All,d,19,22,-13.6
20200119,S37000002,2,All,d,71,67.5,5.2
20200119,S37000002,3,All,d,145,136.5,6.2
20200119,S37000002,4,All,d,199,218.5,-8.9
20200119,S37000002,5,All,d,149,135.5,10
20200119,S37000003,1,All,d,24,26,-7.7
20200119,S37000003,2,All,d,96,69,39.1
20200119,S37000003,3,All,d,92,96.5,-4.7
20200119,S37000003,4,All,d,77,100,-23
20200119,S37000003,5,All,d,43,40,7.5
20200119,S37000004,1,All,d,26,38,-31.6
20200119,S37000004,2,All,d,54,49,10.2
20200119,S37000004,3,All,d,127,127.5,-0.4
20200119,S37000004,4,All,d,47,55,-14.5
20200119,S37000004,5,All,d,19,29,-34.5
20200119,S37000005,1,All,d,93,141,-34
20200119,S37000005,2,All,d,74,128,-42.2
20200119,S37000005,3,All,d,71,99,-28.3
20200119,S37000005,4,All,d,86,120,-28.3
20200119,S37000005,5,All,d,69,112.5,-38.7
20200119,S37000006,1,All,d,47,52,-9.6
20200119,S37000006,2,All,d,130,144,-9.7
20200119,S37000006,3,All,d,150,179.5,-16.4
20200119,S37000006,4,All,d,92,64.5,42.6
20200119,S37000006,5,All,d,35,34.5,1.4
20200119,S37000007,1,All,d,217,209.5,3.6
20200119,S37000007,2,All,d,83,94.5,-12.2
20200119,S37000007,3,All,d,46,41.5,10.8
20200119,S37000007,4,All,d,49,58,-15.5
20200119,S37000007,5,All,d,61,72.5,-15.9
20200119,S37000008,1,All,d,128,142,-9.9
20200119,S37000008,2,All,d,108,109,-0.9
20200119,S37000008,3,All,d,48,66.5,-27.8
20200119,S37000008,4,All,d,36,47.5,-24.2
20200119,S37000008,5,All,d,26,26,0
20200119,S37000009,1,All,d,19,12,58.3
20200119,S37000009,2,All,d,66,62.5,5.6
20200119,S37000009,3,All,d,17,21,-19
20200119,S37000009,4,All,d,61,60.5,0.8
20200119,S37000009,5,All,d,135,123,9.8
20200119,S37000010,1,All,d,10,19,-47.4
20200119,S37000010,2,All,d,95,79.5,19.5
20200119,S37000010,3,All,d,62,52.5,18.1
20200119,S37000010,4,All,d,56,43,30.2
20200119,S37000010,5,All,d,34,39,-12.8
20200119,S37000011,1,All,d,17,18.5,-8.1
20200119,S37000011,2,All,d,35,35,0
20200119,S37000011,3,All,d,24,25.5,-5.9
20200119,S37000011,4,All,d,46,51,-9.8
20200119,S37000011,5,All,d,92,112.5,-18.2
20200119,S37000012,1,All,d,210,186,12.9
20200119,S37000012,2,All,d,227,167,35.9
20200119,S37000012,3,All,d,130,127.5,2
20200119,S37000012,4,All,d,198,155.5,27.3
20200119,S37000012,5,All,d,383,321.5,19.1
20200119,S37000013,1,All,d,98,153,-35.9
20200119,S37000013,2,All,d,122,202.5,-39.8
20200119,S37000013,3,All,d,113,163.5,-30.9
20200119,S37000013,4,All,d,77,110.5,-30.3
20200119,S37000013,5,All,d,51,91.5,-44.3
20200119,S37000016,1,All,d,74,93,-20.4
20200119,S37000016,2,All,d,129,140.5,-8.2
20200119,S37000016,3,All,d,211,228,-7.5
20200119,S37000016,4,All,d,187,190,-1.6
20200119,S37000016,5,All,d,47,44.5,5.6
20200119,S37000017,1,All,d,118,144,-18.1
20200119,S37000017,2,All,d,28,33,-15.2
20200119,S37000017,3,All,d,39,32,21.9
20200119,S37000017,4,All,d,22,26.5,-17
20200119,S37000017,5,All,d,28,27.5,1.8
20200119,S37000018,1,All,d,21,23,-8.7
20200119,S37000018,2,All,d,118,82,43.9
20200119,S37000018,3,All,d,53,45,17.8
20200119,S37000018,4,All,d,39,34.5,13
20200119,S37000018,5,All,d,28,17,64.7
20200119,S37000019,1,All,d,13,11.5,13
20200119,S37000019,2,All,d,47,41,14.6
20200119,S37000019,3,All,d,86,82.5,4.2
20200119,S37000019,4,All,d,72,78,-7.7
20200119,S37000019,5,All,d,24,19.5,23.1
20200119,S37000020,1,All,d,183,255,-28.2
20200119,S37000020,2,All,d,98,104,-5.8
20200119,S37000020,3,All,d,58,64.5,-10.1
20200119,S37000020,4,All,d,49,58.5,-16.2
20200119,S37000020,5,All,d,31,35.5,-12.7
20200119,S37000022,2,All,d,14,13,7.7
20200119,S37000022,3,All,d,12,12.5,-4
20200119,S37000022,4,All,d,37,35.5,4.2
20200119,S37000024,1,All,d,150,153,-2
20200119,S37000024,2,All,d,124,133,-6.8
20200119,S37000024,3,All,d,77,71.5,7.7
20200119,S37000024,4,All,d,79,56,41.1
20200119,S37000024,5,All,d,78,81,-3.7
20200119,S37000025,1,All,d,16,20,-20
20200119,S37000025,2,All,d,45,54.5,-17.4
20200119,S37000025,3,All,d,115,123.5,-6.9
20200119,S37000025,4,All,d,88,76.5,15
20200119,S37000025,5,All,d,19,10.5,81
20200119,S37000026,3,All,d,17,24.5,-30.6
20200119,S37000026,4,All,d,20,35.5,-43.7
20200119,S37000027,1,All,d,81,84.5,-4.1
20200119,S37000027,2,All,d,100,107,-6.5
20200119,S37000027,3,All,d,78,90,-13.3
20200119,S37000027,4,All,d,67,54.5,22.9
20200119,S37000027,5,All,d,62,74,-16.2
20200119,S37000028,1,All,d,241,233.5,3.2
20200119,S37000028,2,All,d,215,263,-18.3
20200119,S37000028,3,All,d,198,182.5,8.5
20200119,S37000028,4,All,d,149,151,-1.3
20200119,S37000028,5,All,d,108,118.5,-8.9
20200119,S37000029,1,All,d,123,133,-7.5
20200119,S37000029,2,All,d,76,70,8.6
20200119,S37000029,3,All,d,46,41,12.2
20200119,S37000029,4,All,d,23,19,21.1
20200119,S37000029,5,All,d,9,10.5,-14.3
20200119,S37000030,1,All,d,101,95,6.3
20200119,S37000030,2,All,d,186,142,31
20200119,S37000030,3,All,d,111,93.5,18.7
20200119,S37000030,4,All,d,77,81,-4.9
20200119,S37000030,5,All,d,58,54,7.4
20200119,S37000031,2,All,d,9,18,-50
20200119,S37000031,3,All,d,86,78,10.3
20200119,S37000032,1,All,d,302,273,10.6
20200119,S37000032,2,All,d,285,262.5,8.6
20200119,S37000032,3,All,d,196,239.5,-18.2
20200119,S37000032,4,All,d,211,182.5,15.6
20200119,S37000032,5,All,d,165,143,15.4
20200119,S37000033,1,All,d,30,35.5,-15.5
20200119,S37000033,2,All,d,69,58,19
20200119,S37000033,3,All,d,83,94,-11.7
20200119,S37000033,4,All,d,139,148.5,-6.4
20200119,S37000033,5,All,d,90,83,8.4
20200119,S37000034,1,All,d,1092,1023,6.7
20200119,S37000034,2,All,d,301,345,-12.8
20200119,S37000034,3,All,d,173,212,-18.4
20200119,S37000034,4,All,d,149,138,8
20200119,S37000034,5,All,d,111,124,-10.5
20200119,S37000035,1,All,d,400,448.5,-10.8
20200119,S37000035,2,All,d,329,289,13.8
20200119,S37000035,3,All,d,150,153,-2
20200119,S37000035,4,All,d,147,128.5,14.4
20200119,S37000035,5,All,d,78,71,9.9
20200126,S37000001,1,All,d,70,77.5,-9.7
20200126,S37000001,2,All,d,146,150,-2.7
20200126,S37000001,3,All,d,83,74,12.2
20200126,S37000001,4,All,d,63,77.5,-18.7
20200126,S37000001,5,All,d,157,144.5,8.7
20200126,S37000002,1,All,d,27,22.5,20
20200126,S37000002,2,All,d,63,79,-20.3
20200126,S37000002,3,All,d,133,133,0
20200126,S37000002,4,All,d,213,208.5,2.2
20200126,S37000002,5,All,d,134,142.5,-6
20200126,S37000003,1,All,d,29,28.5,1.8
20200126,S37000003,2,All,d,93,80,16.2
20200126,S37000003,3,All,d,90,90.5,-0.6
20200126,S37000003,4,All,d,82,79,3.8
20200126,S37000003,5,All,d,29,38,-23.7
20200126,S37000004,1,All,d,38,32,18.8
20200126,S37000004,2,All,d,44,53.5,-17.8
20200126,S37000004,3,All,d,119,107.5,10.7
20200126,S37000004,4,All,d,57,60.5,-5.8
20200126,S37000004,5,All,d,23,16.5,39.4
20200126,S37000005,1,All,d,82,173,-52.6
20200126,S37000005,2,All,d,71,119,-40.3
20200126,S37000005,3,All,d,71,88,-19.3
20200126,S37000005,4,All,d,62,121,-48.8
20200126,S37000005,5,All,d,65,101,-35.6
20200126,S37000006,1,All,d,37,58.5,-36.8
20200126,S37000006,2,All,d,154,132,16.7
20200126,S37000006,3,All,d,169,178,-5.1
20200126,S37000006,4,All,d,64,67,-4.5
20200126,S37000006,5,All,d,35,38,-7.9
20200126,S37000007,1,All,d,212,207,2.4
20200126,S37000007,2,All,d,81,93,-12.9
20200126,S37000007,3,All,d,44,43.5,1.1
20200126,S37000007,4,All,d,62,51,21.6
20200126,S37000007,5,All,d,44,55.5,-20.7
20200126,S37000008,1,All,d,141,153,-7.8
20200126,S37000008,2,All,d,101,107,-5.6
20200126,S37000008,3,All,d,56,68.5,-18.2
20200126,S37000008,4,All,d,50,50,0
20200126,S37000008,5,All,d,27,32,-15.6
20200126,S37000009,1,All,d,19,17.5,8.6
20200126,S37000009,2,All,d,50,54,-7.4
20200126,S37000009,3,All,d,38,20,90
20200126,S37000009,4,All,d,61,64,-4.7
20200126,S37000009,5,All,d,139,131,6.1
20200126,S37000010,1,All,d,6,20,-70
20200126,S37000010,2,All,d,112,80,40
20200126,S37000010,3,All,d,67,59.5,12.6
20200126,S37000010,4,All,d,52,46,13
20200126,S37000010,5,All,d,44,26.5,66
20200126,S37000011,1,All,d,23,20.5,12.2
20200126,S37000011,2,All,d,25,31,-19.4
20200126,S37000011,3,All,d,31,22,40.9
20200126,S37000011,4,All,d,48,52.5,-8.6
20200126,S37000011,5,All,d,115,115,0
20200126,S37000012,1,All,d,221,175.5,25.9
20200126,S37000012,2,All,d,207,175.5,17.9
20200126,S37000012,3,All,d,134,125.5,6.8
20200126,S37000012,4,All,d,172,159,8.2
20200126,S37000012,5,All,d,395,331,19.3
20200126,S37000013,1,All,d,107,188.5,-43.2
20200126,S37000013,2,All,d,133,192.5,-30.9
20200126,S37000013,3,All,d,121,211,-42.7
20200126,S37000013,4,All,d,68,116,-41.4
20200126,S37000013,5,All,d,69,91.5,-24.6
20200126,S37000016,1,All,d,83,92.5,-10.3
20200126,S37000016,2,All,d,136,149.5,-9
20200126,S37000016,3,All,d,237,229.5,3.3
20200126,S37000016,4,All,d,167,186,-10.2
20200126,S37000016,5,All,d,52,47,10.6
20200126,S37000017,1,All,d,140,133,5.3
20200126,S37000017,2,All,d,37,33,12.1
20200126,S37000017,3,All,d,42,23,82.6
20200126,S37000017,4,All,d,21,29,-27.6
20200126,S37000017,5,All,d,25,27,-7.4
20200126,S37000018,1,All,d,32,24,33.3
20200126,S37000018,2,All,d,91,81.5,11.7
20200126,S37000018,3,All,d,66,54,22.2
20200126,S37000018,4,All,d,39,35,11.4
20200126,S37000018,5,All,d,11,17.5,-37.1
20200126,S37000019,1,All,d,7,7.5,-6.7
20200126,S37000019,2,All,d,44,39,12.8
20200126,S37000019,3,All,d,73,78.5,-7
20200126,S37000019,4,All,d,80,84.5,-5.3
20200126,S37000019,5,All,d,20,28,-28.6
20200126,S37000020,1,All,d,189,227.5,-16.9
20200126,S37000020,2,All,d,87,92,-5.4
20200126,S37000020,3,All,d,61,63.5,-3.9
20200126,S37000020,4,All,d,44,50,-12
20200126,S37000020,5,All,d,34,31.5,7.9
20200126,S37000022,2,All,d,6,10.5,-42.9
20200126,S37000022,3,All,d,12,14.5,-17.2
20200126,S37000022,4,All,d,20,31.5,-36.5
20200126,S37000024,1,All,d,144,154,-6.5
20200126,S37000024,2,All,d,125,125.5,-0.4
20200126,S37000024,3,All,d,79,82,-3.7
20200126,S37000024,4,All,d,55,63,-12.7
20200126,S37000024,5,All,d,75,72,4.2
20200126,S37000025,1,All,d,27,19.5,38.5
20200126,S37000025,2,All,d,70,59.5,17.6
20200126,S37000025,3,All,d,109,121.5,-10.3
20200126,S37000025,4,All,d,76,75.5,0.7
20200126,S37000025,5,All,d,12,23.5,-48.9
20200126,S37000026,3,All,d,24,19,26.3
20200126,S37000026,4,All,d,30,29.5,1.7
20200126,S37000027,1,All,d,79,88,-10.2
20200126,S37000027,2,All,d,85,87.5,-2.9
20200126,S37000027,3,All,d,77,89,-13.5
20200126,S37000027,4,All,d,59,66,-10.6
20200126,S37000027,5,All,d,63,67.5,-6.7
20200126,S37000028,1,All,d,215,261.5,-17.8
20200126,S37000028,2,All,d,235,276,-14.9
20200126,S37000028,3,All,d,175,212,-17.5
20200126,S37000028,4,All,d,136,148,-8.1
20200126,S37000028,5,All,d,123,125,-1.6
20200126,S37000029,1,All,d,114,132,-13.6
20200126,S37000029,2,All,d,100,71,40.8
20200126,S37000029,3,All,d,43,40.5,6.2
20200126,S37000029,4,All,d,23,20.5,12.2
20200126,S37000029,5,All,d,13,10,30
20200126,S37000030,1,All,d,102,102,0
20200126,S37000030,2,All,d,174,164,6.1
20200126,S37000030,3,All,d,139,104,33.7
20200126,S37000030,4,All,d,102,87.5,16.6
20200126,S37000030,5,All,d,60,75,-20
20200126,S37000031,2,All,d,9,18.5,-51.4
20200126,S37000031,3,All,d,81,84,-3.6
20200126,S37000032,1,All,d,280,271,3.3
20200126,S37000032,2,All,d,257,271.5,-5.3
20200126,S37000032,3,All,d,245,254.5,-3.7
20200126,S37000032,4,All,d,202,195.5,3.3
20200126,S37000032,5,All,d,151,144,4.9
